species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Myotis_montivagus,Chiroptera,0.17,8.3,"Jones & MacLarnon, 2004",NA
Myotis_muricola,Chiroptera,0.13,4.95,"Jones & MacLarnon, 2004",NA
Myotis_myotis,Chiroptera,0.49,27.92,"Jones & MacLarnon, 2004",NA
Myotis_mystacinus,Chiroptera,0.16,4.85,"Jones & MacLarnon, 2004",NA
Myotis_nattereri,Chiroptera,0.22,7.15,"Jones & MacLarnon, 2004",NA
Myotis_nigricans,Chiroptera,0.13,4.45,"Jones & MacLarnon, 2004",NA
Myotis_riparius,Chiroptera,0.17,7.95,"Jones & MacLarnon, 2004",NA
Myotis_ruber,Chiroptera,0.16,5,"Shi et al., 2018","Faurby et al., 2018"
Myotis_siligorensis,Chiroptera,0.1,3.46,"Jones & MacLarnon, 2004",NA
Myotis_sodalis,Chiroptera,0.15,6.9,"Shi et al., 2018","Faurby et al., 2018"
Myotis_thysanodes,Chiroptera,0.2,8.1,"Shi et al., 2018","Faurby et al., 2018"
Myotis_tricolor,Chiroptera,0.26,13.6,"Jones & MacLarnon, 2004",NA
Myotis_velifer,Chiroptera,0.2,8.9,"Jones & MacLarnon, 2004",NA
Myotis_vivesi,Chiroptera,0.42,25,"Shi et al., 2018","Faurby et al., 2018"
Myotis_volans,Chiroptera,0.14,8.5,"Shi et al., 2018","Faurby et al., 2018"
Myotis_yumanensis,Chiroptera,0.13,4.6,"Jones & MacLarnon, 2004",NA
Myrmecobius_fasciatus,Dasyuromorphia,4.25,471.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Myrmecophaga_tridactyla,Xenarthra,84,18940,"Boddy et al., 2012",NA
Mysateles_prehensilis,Rodentia,8.73,1800,Scan,"Faurby et al., 2018"
Mystromys_albicaudatus,Rodentia,1.39,80,"Boddy et al., 2012",NA
Nandinia_binotata,Carnivora,17.3,3190,"Isler & van Schaik, 2012",NA
Nanger_dama,Artiodactyla,150,60000,"Isler & van Schaik, 2012",NA
Nanger_granti,Artiodactyla,139,40500,"Isler & van Schaik, 2012",NA
Nanonycteris_veldkampii,Chiroptera,0.65,21.4,"Shi et al., 2018","Faurby et al., 2018"
Napaeozapus_insignis,Rodentia,0.48,23.2,"Boddy et al., 2012",NA
Nasalis_larvatus,Primates,83.8,9730,"Isler & van Schaik, 2012",NA
Nasua_narica,Carnivora,44.17,6250,"Boddy et al., 2012",NA
Nasua_nasua,Carnivora,37.5,3187.5,"Boddy et al., 2012",NA
Natalus_jamaicensis,Chiroptera,0.31,6.7,"Shi et al., 2018","Faurby et al., 2018"
Natalus_stramineus,Chiroptera,0.19,5,"Shi et al., 2018","Faurby et al., 2018"
Natalus_tumidirostris,Chiroptera,0.25,6.9,"Jones & MacLarnon, 2004",NA
Nectomys_apicalis,Rodentia,1.65,297.4,Scan,"Faurby et al., 2018"
Nectomys_squamipes,Rodentia,1.92,190.7,Scan,"Faurby et al., 2018"
Neofelis_nebulosa,Carnivora,68.7,19490,"Isler & van Schaik, 2012",NA
Neofiber_alleni,Rodentia,2.72,270.5,"Boddy et al., 2012",NA
Neomonachus_schauinslandi,Carnivora,370,173000,"Boddy et al., 2012",NA
Neomys_anomalus,Eulipotyphla,0.25,4.79,"Heldstab et al., 2018",NA
Neomys_fodiens,Eulipotyphla,0.31,16.35,"Boddy et al., 2012",NA
Neophascogale_lorentzii,Dasyuromorphia,2.45,212,"Ashwell, 2008; Weisbecker et al., 2015",NA
Neophoca_cinerea,Carnivora,388.75,189275,"Boddy et al., 2012",NA
Neophocaena_phocaenoides,Cetacea,468,32400,"Montgomery et al., 2013",NA
Neoromicia_capensis,Chiroptera,0.13,6,"Shi et al., 2018","Faurby et al., 2018"
Neoromicia_flavescens,Chiroptera,0.19,10.5,"Jones & MacLarnon, 2004",NA
Neoromicia_nana,Chiroptera,0.1,3.9,"Jones & MacLarnon, 2004",NA
Neotamias_amoenus,Rodentia,1.39,50.8,"Boddy et al., 2012",NA
Neotamias_cinereicollis,Rodentia,1.8,61.7,"Isler & van Schaik, 2012",NA
Neotamias_dorsalis,Rodentia,1.98,62.2,"Boddy et al., 2012",NA
Neotamias_minimus,Rodentia,1.6,45.3,"Boddy et al., 2012",NA
Neotamias_palmeri,Rodentia,1.99,60.8,"Boddy et al., 2012",NA
Neotamias_panamintinus,Rodentia,1.83,51.2,"Boddy et al., 2012",NA
Neotamias_quadrimaculatus,Rodentia,2.16,82.3,"Boddy et al., 2012",NA
Neotamias_quadrivittatus,Rodentia,1.7,62.3,"Boddy et al., 2012",NA
Neotamias_speciosus,Rodentia,1.86,59.9,"Boddy et al., 2012",NA
Neotamias_townsendii,Rodentia,2.44,89.4,"Boddy et al., 2012",NA
Neotoma_albigula,Rodentia,2.17,223.1,"Boddy et al., 2012",NA
Neotoma_cinerea,Rodentia,2.65,331.3,"Boddy et al., 2012",NA
Neotoma_floridana,Rodentia,3.04,257.7,"Boddy et al., 2012",NA
Neotoma_fuscipes,Rodentia,2.66,193.3,"Boddy et al., 2012",NA
Neotoma_mexicana,Rodentia,1.99,203,"Isler & van Schaik, 2009",NA
Neotoma_micropus,Rodentia,2.66,378.3,"Boddy et al., 2012",NA
Neovison_vison,Carnivora,7,645,"Isler & van Schaik, 2012",NA
Nesokia_indica,Rodentia,1.98,178,"Isler & van Schaik, 2009",NA
Nesotragus_moschatus,Artiodactyla,32,3250,"Perez-Barberia et al., 2007; Shultz & Dunbar, 2006",NA
Neurotrichus_gibbsii,Eulipotyphla,0.91,10,"Boddy et al., 2012",NA
Ningaui_ridei,Dasyuromorphia,0.24,9,"Ashwell, 2008; Weisbecker et al., 2015",NA
Ningaui_yvonneae,Dasyuromorphia,0.26,8,"Ashwell, 2008; Weisbecker et al., 2015",NA
Niviventer_cremoriventer,Rodentia,1.32,66.3,"Isler & van Schaik, 2009",NA
Noctilio_albiventris,Chiroptera,0.57,35.6,"Jones & MacLarnon, 2004",NA
Noctilio_leporinus,Chiroptera,1.18,59.16,"Jones & MacLarnon, 2004",NA
Nomascus_gabriellae,Primates,119.38,7365,"Isler et al., 2008",NA
Nomascus_leucogenys,Primates,121.97,6520,"van Woerden et al., 2010; Heldstab et al., 2018",NA
Notiosorex_crawfordi,Eulipotyphla,0.15,6,"Boddy et al., 2012",NA
Notocitellus_adocetus,Rodentia,3.01,155.52,"Mateju, 2016; Jones et al., 2009",NA
Notomys_alexis,Rodentia,0.96,37,"Boddy et al., 2012",NA
Notomys_cervinus,Rodentia,1.03,35,"Isler & van Schaik, 2009",NA
Notomys_mitchellii,Rodentia,0.97,52,"Isler & van Schaik, 2009",NA
Notopteris_macdonaldi,Chiroptera,1.45,70.18,"Jones & MacLarnon, 2004",NA
Notoryctes_caurinus,Notoryctemorphia,0.78,55,"Ashwell, 2008; Weisbecker et al., 2015",NA
Nyctalus_leisleri,Chiroptera,0.23,13.3,"Shi et al., 2018","Faurby et al., 2018"
Nyctalus_noctula,Chiroptera,0.36,26,"Jones & MacLarnon, 2004",NA
Nyctereutes_procyonoides,Carnivora,28.5,4020,"Isler & van Schaik, 2012",NA
Nycteris_arge,Chiroptera,0.36,10.65,"Jones & MacLarnon, 2004",NA
Nycteris_grandis,Chiroptera,0.74,29.4,"Jones & MacLarnon, 2004",NA
Nycteris_hispida,Chiroptera,0.28,7.8,"Jones & MacLarnon, 2004",NA
Nycteris_javanica,Chiroptera,0.48,17.7,"Jones & MacLarnon, 2004",NA
Nycteris_macrotis,Chiroptera,0.39,14.5,"Jones & MacLarnon, 2004",NA
Nycteris_nana,Chiroptera,0.24,6.95,"Jones & MacLarnon, 2004",NA
Nycteris_thebaica,Chiroptera,0.28,8.95,"Jones & MacLarnon, 2004",NA
Nycteris_tragata,Chiroptera,0.48,14.4,"Jones & MacLarnon, 2004",NA
Nycticebus_bengalensis,Primates,13.5,1060,"Isler & van Schaik, 2012",NA
Nycticebus_coucang,Primates,12.74,655.5,"Boddy et al., 2012",NA
Nycticebus_pygmaeus,Primates,7.8,480,"Boddy et al., 2012",NA
Nycticeius_humeralis,Chiroptera,0.15,9,"Shi et al., 2018","Faurby et al., 2018"
Nyctimene_aello,Chiroptera,1.58,84.3,"Shi et al., 2018","Faurby et al., 2018"
Nyctimene_albiventer,Chiroptera,0.83,29.7,"Jones & MacLarnon, 2004",NA
Nyctimene_cephalotes,Chiroptera,1.08,44.5,"Shi et al., 2018","Faurby et al., 2018"
Nyctimene_certans,Chiroptera,1.14,42.1,"Shi et al., 2018","Faurby et al., 2018"
Nyctimene_major,Chiroptera,1.52,104.2,"Shi et al., 2018","Faurby et al., 2018"
Nyctimene_robinsoni,Chiroptera,1.23,47.03,"Jones & MacLarnon, 2004",NA
Nyctimene_vizcaccia,Chiroptera,0.99,35.4,"Jones & MacLarnon, 2004",NA
Nyctinomops_aurispinosus,Chiroptera,0.3,18,"Shi et al., 2018","Faurby et al., 2018"
Nyctinomops_laticaudatus,Chiroptera,0.26,12.2,"Shi et al., 2018","Faurby et al., 2018"
Nyctomys_sumichrasti,Rodentia,1.08,60,"Boddy et al., 2012",NA
Nyctophilus_geoffroyi,Chiroptera,0.17,7.2,"Jones & MacLarnon, 2004",NA
Ochotona_hyperborea,Lagomorpha,2.22,120,"Boddy et al., 2012",NA
Ochotona_princeps,Lagomorpha,2.39,169,"Boddy et al., 2012",NA
Ochotona_rufescens,Lagomorpha,2.75,250,"Boddy et al., 2012",NA
Ochrotomys_nuttalli,Rodentia,0.7,20.6,"Isler & van Schaik, 2012",NA
Octodon_degus,Rodentia,2.1,210,"Isler & van Schaik, 2012",NA
Octodontomys_gliroides,Rodentia,2.68,150,Scan,"Faurby et al., 2018"
Odobenus_rosmarus,Carnivora,1410.25,1022225,"Boddy et al., 2012",NA
Odocoileus_hemionus,Artiodactyla,189.3,58990,"Isler & van Schaik, 2012",NA
Odocoileus_virginianus,Artiodactyla,210,65090,"Boddy et al., 2012",NA
Oenomys_hypoxanthus,Rodentia,1.19,82,"Isler & van Schaik, 2009",NA
Okapia_johnstoni,Artiodactyla,501,240000,"Perez-Barbería et al., 2007",NA
Olallamys_albicauda,Rodentia,3.13,273.5,Scan,"Faurby et al., 2018"
Oligoryzomys_longicaudatus,Rodentia,0.67,26.6,"Boddy et al., 2012",NA
Ommatophoca_rossii,Carnivora,495,179400,"Boddy et al., 2012",NA
Ondatra_zibethicus,Rodentia,5.03,1136.45,"Boddy et al., 2012",NA
Onychogalea_fraenata,Diprotodontia,14.7,4550,"Ashwell, 2008; Weisbecker et al., 2015",NA
Onychogalea_unguifera,Diprotodontia,16.7,6650,"Ashwell, 2008; Weisbecker et al., 2015",NA
Onychomys_leucogaster,Rodentia,0.8,27.39,"Boddy et al., 2012",NA
Onychomys_torridus,Rodentia,0.59,20.02,"Boddy et al., 2012",NA
Orcinus_orca,Cetacea,6052,3273000,"Boddy et al., 2012",NA
Oreotragus_oreotragus,Artiodactyla,59.4,11000,"Isler & van Schaik, 2012",NA
Ornithorhynchus_anatinus,Monotremata,10.08,1389,"Boddy et al., 2012",NA
Orthogeomys_heterodus,Rodentia,4.31,630,"Boddy et al., 2012",NA
Orthogeomys_hispidus,Rodentia,3.98,542.1,"Boddy et al., 2012",NA
Orycteropus_afer,Tubulidentata,79.5,44650,"Isler & van Schaik, 2012",NA
Oryctolagus_cuniculus,Lagomorpha,11.09,2157.6,"Boddy et al., 2012",NA
Oryx_beisa,Artiodactyla,282,175000,"Perez-Barbería et al., 2007",NA
Oryx_dammah,Artiodactyla,205,129500,"Heldstab et al., 2018",NA
Oryx_gazella,Artiodactyla,292,165000,"Isler & van Schaik, 2012",NA
Oryzomys_palustris,Rodentia,0.88,47.1,"Boddy et al., 2012",NA
Oryzorictes_hova,Afrosoricida,0.58,44.2,"Boddy et al., 2012",NA
Osgoodomys_banderanus,Rodentia,0.94,45.64,"Mace & Eisenberg, 1982",NA
Otaria_byronia,Carnivora,506.25,222000,"Boddy et al., 2012",NA
Otocolobus_manul,Carnivora,34.47,3000,"Finarelli & Flynn, 2009",NA
Otocyon_megalotis,Carnivora,26.09,3335,"Boddy et al., 2012",NA
Otolemur_crassicaudatus,Primates,11.78,1150,"Isler et al., 2008",NA
Otolemur_garnettii,Primates,11.5,764,"Isler et al., 2008",NA
Otomops_martiensseni,Chiroptera,0.76,41.75,"Jones & MacLarnon, 2004",NA
Otomys_angoniensis,Rodentia,0.42,95,"Boddy et al., 2012",NA
Otomys_irroratus,Rodentia,1.38,141,"Boddy et al., 2012",NA
Otopteropus_cartilagonodus,Chiroptera,0.58,16.8,"Shi et al., 2018","Faurby et al., 2018"
Otospermophilus_beecheyi,Rodentia,5.42,564.9,"Mateju, 2016",NA
Otospermophilus_variegatus,Rodentia,7.01,703.15,"Mateju, 2016",NA
Ototylomys_phyllotis,Rodentia,1.33,63,"Boddy et al., 2012",NA
Ourebia_ourebi,Artiodactyla,58.3,14617,"Isler & van Schaik, 2012",NA
Ovibos_moschatus,Artiodactyla,350,312500,"Heldstab et al., 2016; Heldstab et al., 2018",NA
Ovis_ammon,Artiodactyla,140,55000,"Isler & van Schaik, 2012",NA
Ovis_orientalis,Artiodactyla,175,55500,"Burger et al., 2019",NA
Pagophilus_groenlandicus,Carnivora,275,132250,"Isler & van Schaik, 2012",NA
Paguma_larvata,Carnivora,30.9,4800,"Isler & van Schaik, 2012",NA
Pan_paniscus,Primates,329.7,39700,"Boddy et al., 2012",NA
Pan_troglodytes,Primates,354.81,60433.16,"Boddy et al., 2012",NA
Panthera_leo,Carnivora,259.5,84000,"Boddy et al., 2012",NA
Panthera_onca,Carnivora,149,77700,"Isler & van Schaik, 2012",NA
Panthera_pardus,Carnivora,135,48000,"Boddy et al., 2012",NA
Panthera_tigris,Carnivora,269.73,195000,"Boddy et al., 2012",NA
Panthera_uncia,Carnivora,101.5,32500,"Isler & van Schaik, 2012",NA
Papio_anubis,Primates,152.4,13300,"Isler & van Schaik, 2012",NA
Papio_cynocephalus,Primates,156.1,12000,"Isler & van Schaik, 2012",NA
Papio_hamadryas,Primates,142,12020,"Boddy et al., 2012",NA
Papio_papio,Primates,142.5,18026.05,"Isler et al., 2008; Jones et al., 2009",NA
Papio_ursinus,Primates,165,14800,"Isler & van Schaik, 2012",NA
Paracynictis_selousi,Carnivora,15.8,1700,"Gittleman, 1986",NA
Paradoxurus_hermaphroditus,Carnivora,25.95,2773.5,"Boddy et al., 2012",NA
Paradoxurus_zeylonensis,Carnivora,17.81,2720,"Gittleman, 1986",NA
Paraechinus_hypomelas,Eulipotyphla,2.4,550,"Burger et al., 2019",NA
Parahyaena_brunnea,Carnivora,106.7,39300,"Isler & van Schaik, 2012",NA
Paramelomys_levipes,Rodentia,1.86,83.4,"Boddy et al., 2012",NA
Paramelomys_rubex,Rodentia,1.27,49.7,"Boddy et al., 2012",NA
Parantechinus_apicalis,Dasyuromorphia,1.2,69,"Ashwell, 2008; Weisbecker et al., 2015",NA
Paranyctimene_raptor,Chiroptera,0.73,26.1,"Jones & MacLarnon, 2004",NA
Paraxerus_cepapi,Rodentia,2.85,216,"Boddy et al., 2012",NA
Pecari_tajacu,Artiodactyla,101.5,18309,"Isler & van Schaik, 2012",NA
Pectinator_spekei,Rodentia,1.93,180,"Boddy et al., 2012",NA
Pedetes_capensis,Rodentia,11.09,3156.5,"Bernard & Nurton, 1993",NA
Pelea_capreolus,Artiodactyla,121,24000,"Isler & van Schaik, 2012",NA
Penthetor_lucasi,Chiroptera,0.95,35,"Jones & MacLarnon, 2004",NA
Peponocephala_electra,Cetacea,1418,206000,"Ridway et al., 2017; Faurby et al., 2018",NA
Perameles_bougainville,Peramelemorphia,3.21,226,"Ashwell, 2008; Weisbecker et al., 2015",NA
Perameles_gunnii,Peramelemorphia,4.5,750,"Ashwell, 2008; Weisbecker et al., 2015",NA
Perameles_nasuta,Peramelemorphia,4.96,960,"Ashwell, 2008; Weisbecker et al., 2015",NA
Perodicticus_potto,Primates,12.07,929.33,"Boddy et al., 2012",NA
Perognathus_flavus,Rodentia,0.31,8.4,"Boddy et al., 2012",NA
Perognathus_longimembris,Rodentia,0.33,8.15,"Boddy et al., 2012",NA
Perognathus_parvus,Rodentia,0.49,17.3,"Boddy et al., 2012",NA
Peromyscus_aztecus,Rodentia,0.92,39.73,"Boddy et al., 2012",NA
Peromyscus_boylii,Rodentia,0.71,27.47,"Boddy et al., 2012",NA
Peromyscus_californicus,Rodentia,0.91,43.53,"Boddy et al., 2012",NA
Peromyscus_crinitus,Rodentia,0.53,13.56,"Boddy et al., 2012",NA
Peromyscus_difficilis,Rodentia,0.9,39.45,"Mace & Eisenberg, 1982",NA
Peromyscus_eremicus,Rodentia,0.54,19.93,"Boddy et al., 2012",NA
Peromyscus_furvus,Rodentia,1.06,56.01,"Mace & Eisenberg, 1982",NA
Peromyscus_gossypinus,Rodentia,0.68,28.25,"Boddy et al., 2012",NA
Peromyscus_grandis,Rodentia,1.53,77.32,"Boddy et al., 2012",NA
Peromyscus_guatemalensis,Rodentia,1.16,52.83,"Boddy et al., 2012",NA
Peromyscus_leucopus,Rodentia,0.6,21.21,"Boddy et al., 2012",NA
Peromyscus_maniculatus,Rodentia,0.57,21.65,"Boddy et al., 2012",NA
Peromyscus_megalops,Rodentia,1.12,66.2,"Boddy et al., 2012",NA
Peromyscus_melanocarpus,Rodentia,1.03,58.8,"Boddy et al., 2012",NA
Peromyscus_melanophrys,Rodentia,0.94,45,"Boddy et al., 2012",NA
Peromyscus_melanotis,Rodentia,0.63,39.6,"Boddy et al., 2012",NA
Peromyscus_merriami,Rodentia,0.56,20.72,"Boddy et al., 2012",NA
Peromyscus_mexicanus,Rodentia,1.02,46.55,"Boddy et al., 2012",NA
Peromyscus_pectoralis,Rodentia,0.65,26.36,"Mace & Eisenberg, 1982",NA
Peromyscus_polionotus,Rodentia,0.42,13.32,"Boddy et al., 2012",NA
Peromyscus_truei,Rodentia,0.75,27.35,"Boddy et al., 2012",NA
Peromyscus_yucatanicus,Rodentia,0.7,26.3,"Boddy et al., 2012",NA
Peromyscus_zarhynchus,Rodentia,1.3,84.02,"Isler & van Schaik, 2009",NA
Peropteryx_macrotis,Chiroptera,0.16,5.4,"Shi et al., 2018","Faurby et al., 2018"
Peropteryx_trinitatis,Chiroptera,0.15,5.4,"Jones & MacLarnon, 2004",NA
Peroryctes_raffrayana,Peramelemorphia,6.33,830,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petaurista_elegans,Rodentia,7.76,924,"Boddy et al., 2012",NA
Petaurista_petaurista,Rodentia,11.77,1811.5,"Boddy et al., 2012",NA
Petauroides_volans,Diprotodontia,4.69,1700,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petaurus_abidi,Diprotodontia,3.83,284,"Ashwell, 2008",NA
Petaurus_australis,Diprotodontia,5.71,555,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petaurus_biacensis,Diprotodontia,1.68,84.5,"Ashwell, 2008",NA
Petaurus_breviceps,Diprotodontia,2.09,127.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petaurus_norfolcensis,Diprotodontia,3.02,230,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petinomys_genibarbis,Rodentia,2.64,110,"Isler & van Schaik, 2009",NA
Petinomys_vordermanni,Rodentia,1.37,41.5,"Isler & van Schaik, 2009",NA
Petrogale_assimilis,Diprotodontia,17.5,4500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_brachyotis,Diprotodontia,15.75,4050,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_concinna,Diprotodontia,11,1350,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_godmani,Diprotodontia,18,4750,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_herberti,Diprotodontia,21.2,5150,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_inornata,Diprotodontia,17,4600,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_lateralis,Diprotodontia,19.2,4600,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_mareeba,Diprotodontia,17,4150,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_penicillata,Diprotodontia,23.9,7100,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_persephone,Diprotodontia,21.5,6200,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petrogale_xanthopus,Diprotodontia,23,7500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Petropseudes_dahli,Diprotodontia,5.04,2000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phacochoerus_aethiopicus,Artiodactyla,125,65320,"Boddy et al., 2012",NA
Phacochoerus_africanus,Artiodactyla,132.5,67000,"Shultz & Dunbar, 2010",NA
Phalanger_carmelitae,Diprotodontia,8.49,1000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_gymnotis,Diprotodontia,13,2700,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_intercastellanus,Diprotodontia,7.35,1434,"Ashwell, 2008",NA
Phalanger_lullulae,Diprotodontia,6.09,1632.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_mimicus,Diprotodontia,8.13,2000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_orientalis,Diprotodontia,7.37,2500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_ornatus,Diprotodontia,7.02,1800,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_rothschildi,Diprotodontia,6.14,1244,"Ashwell, 2008",NA
Phalanger_sericeus,Diprotodontia,9.96,2003,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phalanger_vestitus,Diprotodontia,9.54,1850,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phaner_electromontis,Primates,7.2,400,"Isler et al., 2008",NA
Phaner_furcifer,Primates,6.47,460,"Kirk, 2006",NA
Phaner_pallescens,Primates,6.68,339,"Isler et al., 2008",NA
Phascogale_calura,Dasyuromorphia,0.91,51.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phascogale_tapoatafa,Dasyuromorphia,1.81,193.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phascolarctos_cinereus,Diprotodontia,20.2,5800,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phascolosorex_dorsalis,Dasyuromorphia,1.11,47.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Phataginus_tricuspis,Pholidota,9.4,1790,"Isler & van Schaik, 2012",NA
Philander_opossum,Didelphimorphia,3.83,450,"Ashwell, 2008; Weisbecker et al., 2015",NA
Philantomba_maxwellii,Artiodactyla,38,3357,"Isler & van Schaik, 2012",NA
Philantomba_monticola,Artiodactyla,48,5650,"Perez-Barbería et al., 2007",NA
Philetor_brachypterus,Chiroptera,0.19,10.9,"Shi et al., 2018","Faurby et al., 2018"
Phoca_largha,Carnivora,253.75,91500,"Boddy et al., 2012",NA
Phoca_vitulina,Carnivora,315,73635,"Boddy et al., 2012",NA
Phocarctos_hookeri,Carnivora,393.75,273500,"Boddy et al., 2012",NA
Phocoena_phocoena,Cetacea,1735,142430,"Boddy et al., 2012",NA
Phocoena_sinus,Cetacea,1999,42500,"Merino et al., 2006",NA
Phocoena_spinipinnis,Cetacea,597,68041.9,"Montgomery et al., 2013",NA
Phocoenoides_dalli,Cetacea,833.67,98333.33,"Boddy et al., 2012",NA
Phoniscus_atrox,Chiroptera,0.19,4.2,"Jones & MacLarnon, 2004",NA
Phylloderma_stenops,Chiroptera,1.34,46.1,"Jones & MacLarnon, 2004",NA
Phyllomys_pattoni,Rodentia,3.63,229.9,Scan,"Faurby et al., 2018"
Phyllonycteris_aphylla,Chiroptera,0.48,24.5,"Shi et al., 2018","Faurby et al., 2018"
Phyllonycteris_poeyi,Chiroptera,0.56,22,"Shi et al., 2018","Faurby et al., 2018"
Phyllops_falcatus,Chiroptera,0.61,19.5,"Shi et al., 2018","Faurby et al., 2018"
Phyllostomus_discolor,Chiroptera,1.1,35.22,"Jones & MacLarnon, 2004",NA
Phyllostomus_elongatus,Chiroptera,0.89,44.9,"Jones & MacLarnon, 2004",NA
Phyllostomus_hastatus,Chiroptera,1.53,90,"Jones & MacLarnon, 2004",NA
Phyllotis_darwini,Rodentia,0.94,51.3,"Isler & van Schaik, 2009",NA
Physeter_macrocephalus,Cetacea,8183.1,37416650.04,"Montgomery et al., 2013",NA
Piliocolobus_badius,Primates,78,7000,"Boddy et al., 2012",NA
Piliocolobus_kirkii,Primates,57.25,5630,"Isler et al., 2008",NA
Piliocolobus_tephrosceles,Primates,70.95,8408.8,"Isler et al., 2008",NA
Pipistrellus_ceylonicus,Chiroptera,0.18,10.1,"Jones & MacLarnon, 2004",NA
Pipistrellus_coromandra,Chiroptera,0.11,4.6,"Jones & MacLarnon, 2004",NA
Pipistrellus_crassulus,Chiroptera,0.13,6.1,"Jones & MacLarnon, 2004",NA
Pipistrellus_hesperidus,Chiroptera,0.08,3.7,"Shi et al., 2018","Faurby et al., 2018"
Pipistrellus_imbricatus,Chiroptera,0.14,6.8,"Burger et al., 2019",NA
Pipistrellus_javanicus,Chiroptera,0.12,4.5,"Jones & MacLarnon, 2004",NA
Pipistrellus_kuhlii,Chiroptera,0.17,6.3,"Jones & MacLarnon, 2004",NA
Pipistrellus_nathusii,Chiroptera,0.14,7.3,"Shi et al., 2018","Faurby et al., 2018"
Pipistrellus_papuanus,Chiroptera,0.11,3.34,"Patzke et al., 2013",NA
Pipistrellus_pulveratus,Chiroptera,0.14,5.3,"Jones & MacLarnon, 2004",NA
Pipistrellus_stenopterus,Chiroptera,0.24,16.1,"Pitnick et al., 2006",NA
Pipistrellus_subflavus,Chiroptera,0.13,5.3,"Jones & MacLarnon, 2004",NA
Pipistrellus_tenuis,Chiroptera,0.11,5.2,"Jones & MacLarnon, 2004",NA
Pithecia_pithecia,Primates,32.6,1580,"Isler & van Schaik, 2012",NA
Plagiodontia_aedium,Rodentia,6.8,2630,Scan,"Faurby et al., 2018"
Planigale_gilesi,Dasyuromorphia,0.17,9.2,"Ashwell, 2008; Weisbecker et al., 2015",NA
Planigale_ingrami,Dasyuromorphia,0.15,4.25,"Ashwell, 2008; Weisbecker et al., 2015",NA
Planigale_maculata,Dasyuromorphia,0.2,11,"Ashwell, 2008; Weisbecker et al., 2015",NA
Planigale_novaeguineae,Dasyuromorphia,0.27,14.9,"Ashwell, 2008; Weisbecker et al., 2015",NA
Planigale_tenuirostris,Dasyuromorphia,0.14,6.05,"Ashwell, 2008; Weisbecker et al., 2015",NA
Platalina_genovensium,Chiroptera,0.57,47,"Shi et al., 2018","Faurby et al., 2018"
Platanista_gangetica,Cetacea,290.5,59630,"Montgomery et al., 2013",NA
Platyrrhinus_brachycephalus,Chiroptera,0.58,12.9,"Jones & MacLarnon, 2004",NA
Platyrrhinus_dorsalis,Chiroptera,0.93,26,"Shi et al., 2018","Faurby et al., 2018"
Platyrrhinus_helleri,Chiroptera,0.49,12.77,"Jones & MacLarnon, 2004",NA
Platyrrhinus_infuscus,Chiroptera,1.11,50.3,"Jones & MacLarnon, 2004",NA
Platyrrhinus_lineatus,Chiroptera,0.74,22.6,"Jones & MacLarnon, 2004",NA
Platyrrhinus_vittatus,Chiroptera,1.18,36.6,"Jones & MacLarnon, 2004",NA
Plecotus_auritus,Chiroptera,0.24,6.6,"Jones & MacLarnon, 2004",NA
Podomys_floridanus,Rodentia,0.94,33.47,"Boddy et al., 2012",NA
Poecilogale_albinucha,Carnivora,4.5,250,"Isler & van Schaik, 2012",NA
Poelagus_marjorita,Lagomorpha,10.1,2509.7,"Heldstab et al., 2018",NA
Pogonomys_macrourus,Rodentia,1.43,73.9,"Boddy et al., 2012",NA
