species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Grammomys_cometes,Rodentia,0.96,40.7,"Boddy et al., 2012",NA
Grammomys_dolichurus,Rodentia,0.84,29.25,"Isler & van Schaik, 2009",NA
Grammomys_kuru,Rodentia,1.55,50.2,"Burger et al., 2019",NA
Grampus_griseus,Cetacea,2551,400000,"Montgomery et al., 2013",NA
Gulo_gulo,Carnivora,72.5,10600,"Isler & van Schaik, 2012",NA
Gymnobelideus_leadbeateri,Diprotodontia,2.85,133,"Ashwell, 2008; Weisbecker et al., 2015",NA
Halichoerus_grypus,Carnivora,307.5,194000,"Boddy et al., 2012",NA
Hapalemur_alaotrensis,Primates,13.8,1239.5,"Isler et al., 2008",NA
Hapalemur_griseus,Primates,14.1,709,"Isler & van Schaik, 2012",NA
Hapalemur_occidentalis,Primates,14.2,1202.71,"Isler et al., 2008",NA
Hapalomys_longicaudatus,Rodentia,1.57,70,Scan,"Faurby et al., 2018"
Haplonycteris_fischeri,Chiroptera,0.61,18,"Shi et al., 2018","Faurby et al., 2018"
Harpiocephalus_harpia,Chiroptera,0.44,13.5,"Jones & MacLarnon, 2004",NA
Harpyionycteris_celebensis,Chiroptera,2.16,104,"Shi et al., 2018","Faurby et al., 2018"
Harpyionycteris_whiteheadi,Chiroptera,2.32,110.5,Scan,"Faurby et al., 2018"
Helarctos_malayanus,Carnivora,385.5,45020,"Boddy et al., 2012",NA
Heliophobius_argenteocinereus,Rodentia,1.43,160,"Boddy et al., 2012",NA
Heliosciurus_gambianus,Rodentia,3.99,295,"Boddy et al., 2012",NA
Heliosciurus_rufobrachium,Rodentia,5.75,326,"Boddy et al., 2012",NA
Heliosciurus_ruwenzorii,Rodentia,5.4,291,"Boddy et al., 2012",NA
Helogale_parvula,Carnivora,4.8,267,"Isler & van Schaik, 2012",NA
Hemibelideus_lemuroides,Diprotodontia,3.15,952.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Hemicentetes_semispinosus,Afrosoricida,0.83,110,"Boddy et al., 2012",NA
Hemiechinus_auritus,Eulipotyphla,1.9,250,"Boddy et al., 2012",NA
Hemigalus_derbyanus,Carnivora,18.9,2041,"Isler & van Schaik, 2012",NA
